File Name	Name	Component Items	Component Bundles	Item Description	HP Bonus	Damage Bonus	Shield Bonus	Strikes Bonus	Burn Bonus	Cant Strike	Item Type	Categories	Keywords	Rules
cleansing_firewing	Cleansing Firewing	Firefly, Dew Fly	Duty, Shame	Battle Start, Exposed, and Wounded: Decrease 1 random status effect, and give the enemy 1 burn.	0	0	0	0	0	false	Bug	Bug, Shimmering	Burn, Battle Start, Exposed, Wounded	Battle Start: Convert 1 random status effect to your enemy's burn | Exposed: Convert 1 random status effect to your enemy's burn | Wounded: Convert 1 random status effect to your enemy's burn
corpse_mite	Corpse Mite	Corpsehopper, Scuttlemite	Shame, Revenge	Battle Start: Gain 2 acid.	5	0	0	0	0	false	Bug	Wood, Bug	Acid, Battle Start	Battle Start: Apply 2 acid to yourself
corpse_scorpion	Corpse Scorpion	Corpsehopper, Pit Scorpion	Shame, General	Battle Start: Double your agility.	0	0	0	0	0	false	Bug	Bug	Battle Start	Battle Start: Gain  agility equal to your current agility
corpsefly	Corpse Fly	Corpsehopper, Dew Fly	Shame	Battle Start, Exposed, and Wounded: Remove all your acid.	0	0	0	0	0	false	Bug	Bug, Shimmering	Acid, Battle Start, Exposed, Wounded	Battle Start: Remove acid from yourself  equal to your acid stacks | Exposed: Remove acid from yourself  equal to your acid stacks | Wounded: Remove acid from yourself  equal to your acid stacks
crickets_leg	Cricket's Leg	Sharp Stick Bug, Corpsehopper	Chaos, Shame	On Hit: Spend 2 agility and gain 1 additional strike on your next turn.	0	2	0	0	0	false	Weapon		Strikes	On Hit: Convert 2 agility to 0.5x strikes
daddy_lottalegs	Daddy Lottalegs	Dark Crawler, Illipede	Greed, Shame	Turn Start: Gain 1 poison and deal 1 damage to the enemy.	0	3	0	0	0	false	Bug	Bug, Dark	Poison	Turn Start: Apply 1 poison to yourself | Turn Start: Deal 1 damage to your Enemy.
darkfly	Darkfly	Dark Crawler, Dew Fly	Greed, Shame	Battle Start, Exposed, and Wounded: Decrease a random status effect by 1. Whenever a status effect is decreased, deal 1 damage to the enemy.	0	0	0	0	0	false	Bug	Shimmering, Dark, Bug	Battle Start, Exposed, Wounded	Battle Start: Remove 1 random status effect from yourself | Exposed: Remove 1 random status effect from yourself | Wounded: Remove 1 random status effect from yourself | On Status Removed any status: Deal 1 damage to your Enemy.
darkhopper	Darkhopper	Corpsehopper, Dark Crawler	Shame, Greed	Turn Start: Spend 1 agility to deal 2 damage to the enemy.	0	0	0	0	0	false	Bug	Bug, Dark		Turn Start: If your agility is more than 0 ; Deal 2 damage to your Enemy. | Turn Start: Lose -1 agility
darkmite	Darkmite	Dark Crawler, Scuttlemite	Greed, Revenge	Battle Start: Deal 1 damage to the enemy. Repeat 2 additional times.	6	0	0	0	0	false	Bug	Dark, Bug	Battle Start	Battle Start: Deal 1 damage to your Enemy.
darkmoth	Darkmoth	Dark Crawler, Bloodmoth	Greed, Honor	Battle Start and Wounded: Deal 3 damage to the enemy, and heal yourself for 3 hitpoints.	0	0	0	0	0	false	Bug	Bug, Dark, Vampiric	Battle Start, Wounded	Battle Start: Deal 3 damage to your Enemy. | Battle Start: Heal yourself for 3 hitpoints. | Wounded: Deal 3 damage to your Enemy. | Wounded: Heal yourself for 3 hitpoints.
dew_mite_recipe	Dew Mite	Scuttlemite, Dew Fly	Revenge, Shame	Battle Start, Exposed, and Wounded: Decrease a random status effect by 2.	5	0	0	0	0	false	Bug	Shimmering, Wood, Bug	Battle Start, Exposed, Wounded	Battle Start: Remove 2 random status effect from yourself | Exposed: Remove 2 random status effect from yourself | Wounded: Remove 2 random status effect from yourself
fire_bug	Firebug	Firefly, Thorn Bug	Duty, Revenge	Battle Start: Give the enemy 1 burn. Whenever burn triggers, gain 3 thorns.	0	0	0	0	0	false	Bug	Bug	Burn, Thorns, Battle Start	Battle Start: Apply 1 burn to your Enemy | On Status Removed burn: Apply 3 thorns to yourself | When status triggers on Enemy burn: Apply 3 thorns to yourself
firefly_wing	Firefly Wing	Sharp Stick Bug, Firefly	Chaos, Duty	Battle Start: Gain 1 additional strike. First Turn: Give the enemy 1 burn on hit.	0	2	0	0	0	false	Weapon		Burn, Strikes, Battle Start	Battle Start: Gain 1 strikes | On Hit: Apply 1 burn to your Enemy
firemite	Firemite	Scuttlemite, Firefly	Revenge, Duty	Exposed: Give the enemy 2 burn.	5	0	0	0	0	false	Bug	Bug, Wood	Burn, Exposed	Exposed: Apply 2 burn to your Enemy
firemoth	Firemoth	Bloodmoth, Firefly	Honor, Duty	Wounded: Give the enemy 1 burn. Whenever burn triggers, restore 3 hitpoints.	0	0	0	0	0	false	Bug	Bug	Burn, Wounded	Wounded: Apply 1 burn to your Enemy | On Status Removed burn: Heal yourself for 3 hitpoints. | When status triggers on Enemy burn: Heal yourself for 3 hitpoints.
flame_crawler	Flame Crawler	Firefly, Dark Crawler	Duty, Greed	Battle Start: Give the enemy 2 burn. Whenever burn triggers, deal 1 damage to the enemy 2 times.	0	0	0	0	0	false	Bug	Dark, Bug	Burn, Battle Start	On Status Removed burn: Deal 1 damage to your Enemy. | Battle Start: Apply 1 burn to your Enemy | When status triggers on Enemy burn: Deal 1 damage to your Enemy.
flamehopper	Flamehopper	Corpsehopper, Firefly	Shame, Duty	Battle Start: Gain 1 acid. Exposed: Give the enemy burn equal to your acid. 	0	0	0	0	0	false	Bug	Bug	Acid, Burn, Battle Start	Battle Start: Apply 1 acid to yourself | Exposed: Apply burn to your Enemy  equal to your acid stacks
flaming_pillbug	Flaming Pillbug	Firefly, Jaunty Pillbug	Duty, General	Exposed: Give the enemy 1 burn and gain max hitpoints equal to your enemy's burn.	0	0	4	0	0	false	Bug	Bug	Burn, Exposed	Exposed: Apply 1 burn to your Enemy | Exposed: Gain  Max hitpoints equal to your Enemy's burn stacks
fullplated_scorpion	Full-Plated Pit Scorpion	Pit Scorpion, Armored Beetle	General, Greed	Battle Start: Gain 15 shield. If your hitpoints are full, gain 15 additional shield.	0	0	0	0	0	false	Bug	Bug, Clearmetal	Battle Start	Battle Start: Gain 15 shield | Battle Start: If your hitpoints is your base hitpoints; Gain 15 shield
hearty_woodmoth	Hearty Woodmoth	Bloodmoth, Scuttlemite	Honor, Revenge	Wounded: Restore 1 hitpoint. Repeat 4 more times.	5	0	0	0	0	false	Bug	Wood, Bug	Wounded	Wounded: Heal yourself for 1 hitpoints.
illimite	Illimite	Illipede, Scuttlemite	Shame, Revenge		-5	5	0	0	0	false	Bug	Bug		
infested_club	Infested Club	Scuttlemite, Sharp Stick Bug	Revenge, Chaos	Battle Start: Gain 2 additional strikes.	5	3	0	0	0	false	Weapon	Wood, Bug	Strikes, Battle Start	Battle Start: Gain 2 strikes
jaunty_corpsebug	Jaunty Corpsebug	Corpsehopper, Jaunty Pillbug	Shame, General	Battle Start: Gain 1 acid. Whenever you lose shield, gain 1 agility.	0	0	2	0	0	false	Bug	Bug	Acid, Battle Start	Battle Start: Apply 1 acid to yourself | On Stat Loss shield: Gain 1 agility
jaunty_mite	Jaunty Mite	Scuttlemite, Jaunty Pillbug	Revenge, General	Exposed: Gain 5 max hitpoints.	5	0	4	0	0	false	Bug	Bug	Exposed	Exposed: Gain 5 Max hitpoints
jaunty_scorpion	Jaunty Scorpion	Pit Scorpion, Jaunty Pillbug	General	Your base shield is doubled.	0	0	0	0	0	false	Bug	Bug		Persistent: Gain  Max shield equal to your base shield
jumping_wretch	Jumping Wretch	Corpsehopper, Illipede	Shame	Battle Start: Gain 1 acid and 5 poison.	0	3	0	0	0	false	Bug	Bug	Acid, Poison, Battle Start	Battle Start: Apply 1 acid to yourself | Battle Start: Apply 5 poison to yourself
matallimoth	Metallimoth	Bloodmoth, Armored Beetle	Honor, Greed	Wounded: Heal for 10 hitpoints and gain 5 shield.	0	0	0	0	0	false	Bug	Vampiric, Clearmetal, Bug	Wounded	Wounded: Heal yourself for 10 hitpoints. | Wounded: Gain 5 shield
midnight_roller	Midnight Roller	Jaunty Pillbug, Dark Crawler	General, Greed	Battle Start: Deal 4 damage to yourself and the enemy. Repeat 1 additional time.	0	0	2	0	0	false	Bug	Bug, Dark	Battle Start	Battle Start: Deal 4 damage to yourself. | Battle Start: Deal 4 damage to your Enemy.
mite_scorpion	Mite Scorpion	Scuttlemite, Pit Scorpion	Revenge, General	Double your max hitpoints.	0	0	0	0	0	false	Bug	Bug		Persistent: Gain  Max hitpoints equal to your base hitpoints
mosquito	Mosquito	Bloodmoth, Dew Fly	Honor, Shame	Battle Start, Exposed and Wounded: Decrease a random status effect by 1. Whenever a status effect is removed, heal 1 hitpoint.	0	0	0	0	0	false	Bug	Shimmering	Battle Start, Exposed, Wounded	Battle Start: Remove 1 random status effect from yourself | Exposed: Remove 1 random status effect from yourself | Wounded: Remove 1 random status effect from yourself | On Status Removed any status: Heal yourself for 1 hitpoints.
moth_eater	Moth Eater	Bloodmoth, Sharp Stick Bug	Honor, Chaos	Wounded: Gain 1 strike and heal 2 hitpoints. Repeat for every 'Vampiric' item.	0	2	0	0	0	false	Weapon		Strikes, Wounded	Wounded: Gain 1 strikes | Wounded: Heal yourself for 2 hitpoints.
plague_moht	Plague Moth	Illipede, Bloodmoth	Shame, Honor	Turn Start: Gain 1 poison and restore 2 hitpoints.	0	2	0	0	0	false	Bug	Bug, Vampiric	Poison	Turn Start: Apply 1 poison to yourself | Turn Start: Heal yourself for 2 hitpoints.
plated_millipede	Plated Millipede	Illipede, Armored Beetle	Shame, Greed	Battle Start: Gain 3 poison.	0	4	6	0	0	false	Bug	Bug, Clearmetal	Poison, Battle Start	Battle Start: Apply 3 poison to yourself
poison_scorpion	Poisonous Scorpion	Pit Scorpion, Illipede	General, Shame	Turn Start: Give the enemy 2 poison.	0	4	0	0	0	false	Bug	Bug, Unique	Poison	Turn Start: Apply 2 poison to your Enemy
prickling_beetle	Prickling Beetle	Thorn Bug, Armored Beetle	Revenge, Greed	Battle Start: If your hitpoints are full, gain 6 thorns and 6 shield.	0	0	0	0	0	false	Bug	Bug, Clearmetal	Thorns, Battle Start	Battle Start: If your hitpoints is your base hitpoints; Apply 6 thorns to yourself | Battle Start: Gain 6 shield
pukefly	Puke Fly	Dew Fly, Illipede	Shame	Turn Start: Convert 1 stack of a random status effect to poison.	0	3	0	0	0	false	Bug	Bug	Poison	Turn Start: Convert 1 random status effect to poison
pulsing_arachnid	Pulsing Arachnid	Pit Scorpion, Dark Crawler	General, Greed	Turn start: Deal 1 damage to the enemy. Repeat 2 additional times.	0	0	0	0	0	false	Bug	Dark, Unique, Bug		Turn Start: Deal 1 damage to your Enemy.
purifying_talon	Purifying Talon	Dew Fly, Sharp Stick Bug	Shame, Chaos	Battle Start: Gain 1 additional strike. On Hit: Decrease a random status effect.	0	3	0	0	0	false	Weapon	Shimmering	Battle Start	Battle Start: Gain 1 strikes | On Hit: Remove 1 random status effect from yourself
reinforced_leaper	Reinforced Leaper	Corpsehopper, Armored Beetle	Shame, Greed	Battle Start: Gain 10 shield. If your hitpoints are not full, gain 2 acid.	0	0	0	0	0	false	Bug	Bug, Clearmetal	Acid, Battle Start	Battle Start: Gain 10 shield | Battle Start: If your hitpoints is less than your base hitpoints; Apply 2 acid to yourself
reinforced_pill	Reinforced Pillbug	Armored Beetle, Jaunty Pillbug	Greed, General	Exposed: Gain 5 shield.	0	0	10	0	0	false	Bug	Bug	Exposed	Exposed: Gain 5 shield
rolling_barbbug	Rolling Barb Bug	Jaunty Pillbug, Thorn Bug	General, Revenge	Exposed: Gain 5 shield and 5 thorns.	0	0	2	0	0	false	Bug	Bug	Thorns, Exposed	Exposed: Gain 5 shield | Exposed: Apply 5 thorns to yourself
rotting_moth	Rotting Moth	Bloodmoth, Corpsehopper	Honor, Shame	Battle Start: Gain 3 acid. Wounded: Convert all your acid to regeneration.	0	0	0	0	0	false	Bug	Bug, Vampiric	Acid, Regeneration, Battle Start, Wounded	Battle Start: Apply 3 acid to yourself | Wounded: Convert all acid to regeneration
sharpened_tibia	Sharpened Tibia	Armored Beetle, Sharp Stick Bug	Greed, Chaos	Turn Start: If your hitpoints are full, gain 1 additional strike.	0	2	6	0	0	false	Weapon		Strikes	Turn Start: If your hitpoints is your base hitpoints; Gain 1 strikes
shimmering_scorpion	Shimmering Scorpion	Dew Fly, Pit Scorpion	Shame, General	Battle Start: Give all your status effects to your enemy.	0	0	0	0	0	false	Bug	Shimmering, Bug	Battle Start	Battle Start: Convert all poison to your enemy's poison | Battle Start: Convert all acid to your enemy's acid | Battle Start: Convert all thorns to your enemy's thorns | Battle Start: Convert all regeneration to your enemy's regeneration | Battle Start: Convert all stun to your enemy's stun | Battle Start: Convert all blind to your enemy's blind | Battle Start: Convert all blessing to your enemy's blessing | Battle Start: Convert all burn to your enemy's burn
shiny_beetle	Shiny Beetle	Armored Beetle, Dew Fly	Greed, Shame	Battle Start: Decrease all your status effects by 1 and gain 3 shield for each status removed.	0	0	0	0	0	false	Bug	Shimmering	Battle Start	Battle Start: Convert 1 poison to 3.0x shield | Battle Start: Convert 1 acid to 3.0x shield | Battle Start: Convert 1 thorns to 3.0x shield | Battle Start: Convert 1 regeneration to 3.0x shield | Battle Start: Convert 1 stun to 3.0x shield | Battle Start: Convert 1 blind to 3.0x shield | Battle Start: Convert 1 blessing to 3.0x shield | Battle Start: Convert 1 burn to 3.0x shield
spiked_crawler	Spiked Crawler	Thorn Bug, Dark Crawler	Revenge, Greed	Battle Start: Deal 1 damage and gain 1 thorns. Repeat 2 times.	0	0	0	0	0	false	Bug	Bug, Dark	Thorns, Battle Start	Battle Start: Deal 1 damage to your Enemy. | Battle Start: Apply 1 thorns to yourself
spinepede	Spinepede	Illipede, Thorn Bug	Shame, Revenge	Turn Start: Gain 1 poison and 1 thorns.	0	3	0	0	0	false	Bug	Bug	Thorns, Poison	Turn Start: Apply 1 poison to yourself | Turn Start: Apply 1 thorns to yourself
spiny_wetwalker	Spiny Wetwalker	Thorn Bug, Dew Fly	Revenge, Shame	Battle Start, Exposed, and Wounded: Remove 1 random status effect and gain 1 thorns. Twice.	0	0	0	0	0	false	Bug	Bug	Thorns, Battle Start, Exposed, Wounded	Battle Start: Remove 1 random status effect from yourself | Battle Start: Apply 1 thorns to yourself | Exposed: Remove 1 random status effect from yourself | Exposed: Apply 1 thorns to yourself | Wounded: Remove 1 random status effect from yourself | Wounded: Apply 1 thorns to yourself
stink_bug	Stink Bug	Jaunty Pillbug, Illipede	General, Shame	Turn Start: Gain 1 shield and 2 poison.	0	3	3	0	0	false	Bug	Bug	Poison	Turn Start: Gain 1 shield | Turn Start: Apply 2 poison to yourself
sub_pillbug	Subaquatic Pillbug	Jaunty Pillbug, Dew Fly	General, Shame	Battle Start: Spend 1 shield to decrease a random status effect by 3.	0	0	3	0	0	false	Bug	Shimmering, Bug	Battle Start	Battle Start: If your shield is more than 0 ; Lose -1 shield | Battle Start: Remove 3 random status effect from yourself
the_stinger	The Stinger	Pit Scorpion, Sharp Stick Bug	General, Chaos	On Hit: Give the enemy 4 poison, 3 acid, and 2 stun. (First turn only)	0	3	0	0	0	false	Weapon		Poison, Acid, Stun	On Hit: Apply 3 acid to your Enemy | On Hit: Apply 4 poison to yourself | On Hit: Apply 2 stun to your Enemy
thornhopper	Thornhopper	Corpsehopper, Thorn Bug	Shame, Revenge	Battle Start: Gain 2 acid and gain thorns equal to your acid.	0	0	0	0	0	false	Bug	Bug	Thorns, Acid, Battle Start	Battle Start: Apply 2 acid to yourself | Battle Start: Apply thorns to yourself  equal to your acid stacks
thornmite	Thornmite	Thorn Bug, Scuttlemite	Revenge	Battle Start: Gain 4 thorns.	5	0	0	0	0	false	Bug	Bug, Wood	Thorns, Battle Start	Battle Start: Apply 4 thorns to yourself
venomed_prickbug	Venomed Prickbug	Thorn Bug, Pit Scorpion	Revenge, General	Thorns do double damage.	0	0	0	0	0	false	Bug	Bug, Unique	Thorns	Persistent: Gain 0 <unknown stat>
wep_prickly_thorax	Prickly Thorax	Thorn Bug, Sharp Stick Bug	Revenge, Chaos	Turn Start: Gain thorns equal to your attack. (Can't strike)	0	4	0	0	0	true	Weapon	Bug	Thorns	Turn Start: Apply thorns to yourself  equal to your current attack
aggressive_insecurity_recipe	Aggressive Insecurity	Potion of Insecurity	Chaos	Exposed: Stun the enemy equal to your agility.	0	0	0	0	0	false	Potion	Elixir, Unique	Stun, Exposed	Exposed: Apply stun to your Enemy  equal to your current agility
liquid_clearmetal_recipe	Liquid Clearmetal	Liquid Metal	Revenge	Battle Start: Gain 20 max hitpoints and gain shield equal to your missing hitpoints.	0	0	0	0	0	false	Potion	Clearmetal, Elixir	Battle Start	Battle Start: Gain 20 Max hitpoints | Battle Start: Gain  shield equal to your missing hitpoints
mountain_dew_red_recipe	Mountain Dew Code Red	Mountain Dew	Shame	Battle Start: Lose 5 shield and gain 5 blessing.	0	0	0	0	0	false	Potion	Unique, Elixir	Blessing, Battle Start	Battle Start: Lose -5 shield | Battle Start: Apply 5 blessing to yourself
stimuplus_recipe	Stimuplus	Stimutax	Chaos	Battle Start: Give yourself 2 stun.	0	3	0	0	0	false	Potion	Unique, Elixir	Stun, Battle Start	Battle Start: Apply 2 stun to yourself
super_blood_from_below_recipe	Super Blood From Below	Blood From Below	Duty	The first time the enemy gains poison, give them 9 additional poison.	0	0	0	0	0	false	Potion	Unique, Elixir	Poison	When Enemy gains Status poison: Apply 9 poison to your Enemy
super_paralysis_poison_recipe	Super Paralysis Poison	Paralysis Poison	Duty	The first time the enemy gains poison, give them 3 stun.	0	0	0	0	0	false	Potion	Unique, Elixir	Poison, Stun	When Enemy gains Status poison: Apply 3 stun to your Enemy
tighten_up_recipe	Tighten Up	Toughen Up	Shame	Wounded: Gain shield equal to max hitpoints, and gain 5 acid.	0	0	0	0	0	false	Potion	Elixir, Unique	Wounded	Wounded: Gain  shield equal to your base hitpoints | Wounded: Apply 5 acid to yourself
will_mixed_potion_recipe	Well Mixed Potion	Potion of Mixing	General	Battle Start: Give the enemy 4 blind, 4 acid, and 4 poison.	0	0	0	0	0	false	Potion	Unique, Elixir	Acid, Blind, Poison, Battle Start	Battle Start: Apply 4 poison to your Enemy | Battle Start: Apply 4 acid to your Enemy | Battle Start: Apply 4 blind to your Enemy
