File Name	Name	Bundle	Item Description	HP Bonus	Shield Bonus	Damage Bonus	Agility Bonus	Strikes Bonus	Burn Bonus	Cant Strike	Rarity	Item Type	Categories	Keywords	Rules
ring_of_life	Ring of Life	Greed	Battle Start: Heal for 3 hitpoints.	0	0	0	0	0	0	false	Common	Jewelry	Ring	Battle Start	Battle Start: Heal yourself for 3 hitpoints.
ring_of_power	Ring of Power	Greed	Battle Start: Gain 2 attack and take 3 damage.	0	0	0	0	0	0	false	Common	Jewelry	Ring	Battle Start	Battle Start: Gain 2 attack | Battle Start: Deal 3 damage to yourself.
ring_of_theft	Ring of Theft	Greed	Battle Start: Steal 2 shield from the enemy.	0	0	0	0	0	0	false	Common	Jewelry	Ring	Battle Start	Battle Start: Convert 2 your enemy's shield to shield
rubber_glue	Rubber Glue	Shame	Battle Start: Remove 1 random status effect from yourself, and apply 1 random status effect on your enemy.	0	0	0	0	0	0	false	Common	Tool	Shimmering	Battle Start	Battle Start: Remove 1 random status effect from yourself | Battle Start: Apply 1 random status effect to your Enemy
shafeek_boots	Shafeek's Overlarge Boots	General		0	0	0	2	0	0	false	Common	Boots			
shafeek_shield	Shafeek's Appropriately Sized Shield	General		0	3	0	0	0	0	false	Common	Shield			
shimmering_gauntlet	Glowing Gauntlets	Greed	Battle Start: Give the enemy 1 blind.	0	0	0	0	0	0	false	Common	Gloves	Shimmering	Blind, Battle Start	Battle Start: Apply 1 blind to your Enemy
shimmering_jawtrap	Conspicuous Jawtrap	Greed	Wounded: Give the enemy 3 blind.	0	0	0	0	0	0	false	Common	Tool	Shimmering	Blind, Wounded	Wounded: Apply 3 blind to your Enemy
thirsty_helmet	Thirsty Helmet	Honor	On Hit. Heal yourself for 1 hitpoint. (First turn only)	0	0	0	0	0	0	false	Common	Helmet	Vampiric		On Hit: Heal yourself for 1 hitpoints.
Darkmite	Darkmite	General	Battle Start: Deal 1 damage to the enemy. Repeat 2 additional times.	6	0	0	0	0	0	false	Crafted	Bug	Dark, Bug	Battle Start	Battle Start: Deal 1 damage to your Enemy.
agressive_insecurity	Aggressive Insecurity	General	Exposed: Stun the enemy equal to your agility.	0	0	0	4	0	0	false	Crafted	Potion	Elixir, Unique	Stun, Exposed	Exposed: Apply stun to your Enemy  equal to your current agility
liquid_clearmetal	Liquid Clearmetal	General	Battle Start: Gain 20 max hitpoints and gain shield equal to your missing hitpoints.	0	0	0	0	0	0	false	Crafted	Potion	Clearmetal, Elixir	Battle Start	Battle Start: Gain 20 Max hitpoints | Battle Start: Gain  shield equal to your missing hitpoints
mountain_dew_red	Mountain Dew Code Red	General	Battle Start: Lose 5 shield and gain 5 blessing.	0	0	0	0	0	0	false	Crafted	Potion	Unique, Elixir	Blessing, Battle Start	Battle Start: Lose -5 shield | Battle Start: Apply 5 blessing to yourself
stimuplus	Stimuplus	General	Battle Start: Give yourself 2 stun.	0	0	3	4	0	0	false	Crafted	Potion	Unique, Elixir	Stun, Battle Start	Battle Start: Apply 2 stun to yourself
super_blood_from_below	Super Blood From Below	General	The first time the enemy gains poison, give them 9 additional poison.	0	0	0	0	0	0	false	Crafted	Potion	Unique, Elixir	Poison	When Enemy gains Status poison: Apply 9 poison to your Enemy
super_paralysis_poison	Super Paralysis Poison	General	The first time the enemy gains poison, give them 3 stun.	0	0	0	0	0	0	false	Crafted	Potion	Unique, Elixir	Poison, Stun	When Enemy gains Status poison: Apply 3 stun to your Enemy
tighten_up	Tighten Up	General	Wounded: Gain shield equal to max hitpoints, and gain 5 acid.	0	0	0	0	0	0	false	Crafted	Potion	Elixir, Unique	Wounded	Wounded: Gain  shield equal to your base hitpoints | Wounded: Apply 5 acid to yourself
well_mixed_potion	Well Mixed Potion	General	Battle Start: Give the enemy 4 blind, 4 acid, and 4 poison.	0	0	0	0	0	0	false	Crafted	Potion	Unique, Elixir	Acid, Blind, Poison, Battle Start	Battle Start: Apply 4 poison to your Enemy | Battle Start: Apply 4 acid to your Enemy | Battle Start: Apply 4 blind to your Enemy
Firemoth	Firemoth	General	Wounded: Give the enemy 1 burn. Whenever burn triggers, restore 3 hitpoints.	0	0	0	0	0	0	false	Crafted	Bug	Bug	Burn, Wounded	Wounded: Apply 1 burn to your Enemy | On Status Removed burn: Heal yourself for 3 hitpoints. | When status triggers on Enemy burn: Heal yourself for 3 hitpoints.
armored_crawler	Armored Crawler	General	Battle Start: If your hitpoints are full, gain 2 armor and deal 2 damage; repeat 2 times.	0	0	0	0	0	0	false	Crafted	Bug	Clearmetal, Dark, Bug	Battle Start	Battle Start: If your hitpoints is your base hitpoints; Gain 2 shield | Battle Start: Deal 2 damage to your Enemy.
armored_fire_beetle	Armored Firefly	General	Exposed: Give the enemy 2 burn and gain 3 shield for each burn the enemy has.	0	0	0	0	0	0	false	Crafted	Bug	Bug, Clearmetal	Burn, Exposed	Exposed: Apply 2 burn to your Enemy | Exposed: Gain  shield equal to your Enemy's burn stacks
armored_termite	Armored Termite	General	Battle Start: If your hitpoints are full, gain 5 shield and 5 max hitpoints.	6	6	0	0	0	0	false	Crafted	Bug	Clearmetal, Bug	Battle Start	Battle Start: If your hitpoints is your base hitpoints; Gain 5 shield | Battle Start: Gain 5 Max hitpoints
blood_scorpion	Blood Scorpion	General	Wounded: Restore 30 hitpoints.	0	0	0	0	0	0	false	Crafted	Bug	Vampiric, Unique, Bug	Wounded	Wounded: Gain 30 hitpoints
bloody_spikewing	Bloody Spikewing	General	Wounded: Restore 5 hitpoints and gain 5 thorns.	0	0	0	0	0	0	false	Crafted	Bug	Bug	Thorns, Wounded	Wounded: Heal yourself for 5 hitpoints. | Wounded: Apply 5 thorns to yourself
boiling_illipillar	Boiling Illipillar	General	Battle Start: Gain 3 poison and give the enemy burn equal to your poison.	0	0	2	0	0	0	false	Crafted	Bug	Bug	Poison, Burn, Battle Start	Battle Start: Apply 3 poison to yourself | Battle Start: Apply burn to your Enemy  equal to your poison stacks
burning_scorpion	Burning Scorpion	General	Exposed: Give the enemy 10 burn.	0	0	0	0	0	0	false	Crafted	Bug	Bug	Burn, Exposed	Exposed: Apply 10 burn to your Enemy
centepede_bow	Centipede Bow	General	Battle Start: Gain 3 poison. Turn Start: If you have poison, gain 1 additional strike.	0	0	4	0	0	0	false	Crafted	Weapon		Poison, Strikes, Battle Start	Battle Start: Apply 3 poison to yourself | Turn Start: If you have more than 0  poison; Gain 1 strikes
cheerful_deathfly	Cheerful Deathwing	General	Exposed and Wounded: Heal for 3 hitpoints.	0	2	0	0	0	0	false	Crafted	Bug	Bug	Exposed, Wounded	Exposed: Heal yourself for 3 hitpoints. | Wounded: Heal yourself for 3 hitpoints.
chelicerae	Chelicarea	General	Battle Start and Exposed: Deal 4 damage to the enemy.	0	0	3	0	0	0	false	Crafted	Weapon	Dark	Battle Start, Exposed	Battle Start: Deal 4 damage to your Enemy. | Exposed: Deal 4 damage to your Enemy.
cleansing_firewing	Cleansing Firewing	General	Battle Start, Exposed, and Wounded: Decrease 1 random status effect, and give the enemy 1 burn.	0	0	0	0	0	0	false	Crafted	Bug	Bug, Shimmering	Burn, Battle Start, Exposed, Wounded	Battle Start: Convert 1 random status effect to your enemy's burn | Exposed: Convert 1 random status effect to your enemy's burn | Wounded: Convert 1 random status effect to your enemy's burn
corpse_fly	Corpse Fly	General	Battle Start, Exposed, and Wounded: Remove all your acid.	0	0	0	3	0	0	false	Crafted	Bug	Bug, Shimmering	Acid, Battle Start, Exposed, Wounded	Battle Start: Remove acid from yourself  equal to your acid stacks | Exposed: Remove acid from yourself  equal to your acid stacks | Wounded: Remove acid from yourself  equal to your acid stacks
corpse_mite	Corpse Mite	General	Battle Start: Gain 2 acid.	5	0	0	5	0	0	false	Crafted	Bug	Wood, Bug	Acid, Battle Start	Battle Start: Apply 2 acid to yourself
corpse_scorpion	Corpse Scorpion	General	Battle Start: Double your agility.	0	0	0	3	0	0	false	Crafted	Bug	Bug	Battle Start	Battle Start: Gain  agility equal to your current agility
crickets_leg	Cricket's Leg	General	On Hit: Spend 2 agility and gain 1 additional strike on your next turn.	0	0	2	4	0	0	false	Crafted	Weapon		Strikes	On Hit: Convert 2 agility to 0.5x strikes
daddy_lottalegs	Daddy Lottalegs	General	Turn Start: Gain 1 poison and deal 1 damage to the enemy.	0	0	3	0	0	0	false	Crafted	Bug	Bug, Dark	Poison	Turn Start: Apply 1 poison to yourself | Turn Start: Deal 1 damage to your Enemy.
darkfly	Darkfly	General	Battle Start, Exposed, and Wounded: Decrease a random status effect by 1. Whenever a status effect is decreased, deal 1 damage to the enemy.	0	0	0	0	0	0	false	Crafted	Bug	Shimmering, Dark, Bug	Battle Start, Exposed, Wounded	Battle Start: Remove 1 random status effect from yourself | Exposed: Remove 1 random status effect from yourself | Wounded: Remove 1 random status effect from yourself | On Status Removed any status: Deal 1 damage to your Enemy.
darkhopper	Darkhopper	General	Turn Start: Spend 1 agility to deal 2 damage to the enemy.	0	0	0	3	0	0	false	Crafted	Bug	Bug, Dark		Turn Start: If your agility is more than 0 ; Deal 2 damage to your Enemy. | Turn Start: Lose -1 agility
darkmoth	Darkmoth	General	Battle Start and Wounded: Deal 3 damage to the enemy, and heal yourself for 3 hitpoints.	0	0	0	0	0	0	false	Crafted	Bug	Bug, Dark, Vampiric	Battle Start, Wounded	Battle Start: Deal 3 damage to your Enemy. | Battle Start: Heal yourself for 3 hitpoints. | Wounded: Deal 3 damage to your Enemy. | Wounded: Heal yourself for 3 hitpoints.
dew_mite	Dew Mite	General	Battle Start, Exposed, and Wounded: Decrease a random status effect by 2.	5	0	0	0	0	0	false	Crafted	Bug	Shimmering, Wood, Bug	Battle Start, Exposed, Wounded	Battle Start: Remove 2 random status effect from yourself | Exposed: Remove 2 random status effect from yourself | Wounded: Remove 2 random status effect from yourself
dew_moth	Dew Moth	General	Battle Start: Decrease a random status effect by 1. Whenever a status effect is removed, gain 1 hitpoint.	0	0	0	0	0	0	false	Crafted	Bug	Vampiric, Shimmering, Bug	Battle Start	Battle Start: Remove 1 random status effect from yourself | On Status Removed any status: Heal yourself for 1 hitpoints.
firebug	Firebug	General	Battle Start: Give the enemy 1 burn. Whenever burn triggers, gain 3 thorns.	0	0	0	0	0	0	false	Crafted	Bug	Bug	Burn, Thorns, Battle Start	Battle Start: Apply 1 burn to your Enemy | On Status Removed burn: Apply 3 thorns to yourself | When status triggers on Enemy burn: Apply 3 thorns to yourself
firefly_wing	Firefly Wing	General	Battle Start: Gain 1 additional strike. First Turn: Give the enemy 1 burn on hit.	0	0	2	0	0	0	false	Crafted	Weapon		Burn, Strikes, Battle Start	Battle Start: Gain 1 strikes | On Hit: Apply 1 burn to your Enemy
firemite	Firemite	General	Exposed: Give the enemy 2 burn.	5	0	0	0	0	0	false	Crafted	Bug	Bug, Wood	Burn, Exposed	Exposed: Apply 2 burn to your Enemy
flame_crawler	Flame Crawler	General	Battle Start: Give the enemy 2 burn. Whenever burn triggers, deal 1 damage to the enemy 2 times.	0	0	0	0	0	0	false	Crafted	Bug	Dark, Bug	Burn, Battle Start	On Status Removed burn: Deal 1 damage to your Enemy. | Battle Start: Apply 1 burn to your Enemy | When status triggers on Enemy burn: Deal 1 damage to your Enemy.
flamehopper	Flamehopper	General	Battle Start: Gain 1 acid. Exposed: Give the enemy burn equal to your acid. 	0	0	0	3	0	0	false	Crafted	Bug	Bug	Acid, Burn, Battle Start	Battle Start: Apply 1 acid to yourself | Exposed: Apply burn to your Enemy  equal to your acid stacks
flaming_pillbug	Flaming Pillbug	General	Exposed: Give the enemy 1 burn and gain max hitpoints equal to your enemy's burn.	0	4	0	0	0	0	false	Crafted	Bug	Bug	Burn, Exposed	Exposed: Apply 1 burn to your Enemy | Exposed: Gain  Max hitpoints equal to your Enemy's burn stacks
full_plated_scorpion	Full-Plated Pit Scorpion	General	Battle Start: Gain 15 shield. If your hitpoints are full, gain 15 additional shield.	0	0	0	0	0	0	false	Crafted	Bug	Bug, Clearmetal	Battle Start	Battle Start: Gain 15 shield | Battle Start: If your hitpoints is your base hitpoints; Gain 15 shield
hearty_woodmoth	Hearty Woodmoth	General	Wounded: Restore 1 hitpoint. Repeat 4 more times.	5	0	0	0	0	0	false	Crafted	Bug	Wood, Bug	Wounded	Wounded: Heal yourself for 1 hitpoints.
illimite	Illimite	General		-5	0	5	0	0	0	false	Crafted	Bug	Bug		
infested_club	Infested Club	General	Battle Start: Gain 2 additional strikes.	5	0	3	0	0	0	false	Crafted	Weapon	Wood, Bug	Strikes, Battle Start	Battle Start: Gain 2 strikes
jaunty_corpsebug	Jaunty Corpsebug	General	Battle Start: Gain 1 acid. Whenever you lose shield, gain 1 agility.	0	2	0	3	0	0	false	Crafted	Bug	Bug	Acid, Battle Start	Battle Start: Apply 1 acid to yourself | On Stat Loss shield: Gain 1 agility
jaunty_mite	Jaunty Mite	General	Exposed: Gain 5 max hitpoints.	5	4	0	0	0	0	false	Crafted	Bug	Bug	Exposed	Exposed: Gain 5 Max hitpoints
jaunty_scorpion	Jaunty Scorpion	General	Your base shield is doubled.	0	0	0	0	0	0	false	Crafted	Bug	Bug		Persistent: Gain  Max shield equal to your base shield
jumping_wretch	Jumping Wretch	General	Battle Start: Gain 1 acid and 5 poison.	0	0	3	4	0	0	false	Crafted	Bug	Bug	Acid, Poison, Battle Start	Battle Start: Apply 1 acid to yourself | Battle Start: Apply 5 poison to yourself
metallimoth	Metallimoth	General	Wounded: Heal for 10 hitpoints and gain 5 shield.	0	0	0	0	0	0	false	Crafted	Bug	Vampiric, Clearmetal, Bug	Wounded	Wounded: Heal yourself for 10 hitpoints. | Wounded: Gain 5 shield
midnight_roller	Midnight Roller	General	Battle Start: Deal 4 damage to yourself and the enemy. Repeat 1 additional time.	0	2	0	0	0	0	false	Crafted	Bug	Bug, Dark	Battle Start	Battle Start: Deal 4 damage to yourself. | Battle Start: Deal 4 damage to your Enemy.
mite_scorpion	Mite Scorpion	General	Double your max hitpoints.	0	0	0	0	0	0	false	Crafted	Bug	Bug		Persistent: Gain  Max hitpoints equal to your base hitpoints
mosquito	Mosquito	General	Battle Start, Exposed and Wounded: Decrease a random status effect by 1. Whenever a status effect is removed, heal 1 hitpoint.	0	0	0	0	0	0	false	Crafted	Bug	Shimmering	Battle Start, Exposed, Wounded	Battle Start: Remove 1 random status effect from yourself | Exposed: Remove 1 random status effect from yourself | Wounded: Remove 1 random status effect from yourself | On Status Removed any status: Heal yourself for 1 hitpoints.
moth_eater	Moth Eater	General	Wounded: Gain 1 strike and heal 2 hitpoints. Repeat for every 'Vampiric' item.	0	0	2	0	0	0	false	Crafted	Weapon		Strikes, Wounded	Wounded: Gain 1 strikes | Wounded: Heal yourself for 2 hitpoints.
plague_moth	Plague Moth	General	Turn Start: Gain 1 poison and restore 2 hitpoints.	0	0	2	0	0	0	false	Crafted	Bug	Bug, Vampiric	Poison	Turn Start: Apply 1 poison to yourself | Turn Start: Heal yourself for 2 hitpoints.
plated_millipede	Plated Millipede	General	Battle Start: Gain 3 poison.	0	6	4	0	0	0	false	Crafted	Bug	Bug, Clearmetal	Poison, Battle Start	Battle Start: Apply 3 poison to yourself
poisonous_scorpion	Poisonous Scorpion	General	Turn Start: Give the enemy 2 poison.	0	0	4	0	0	0	false	Crafted	Bug	Bug, Unique	Poison	Turn Start: Apply 2 poison to your Enemy
prickling_beetle	Prickling Beetle	General	Battle Start: If your hitpoints are full, gain 6 thorns and 6 shield.	0	0	0	0	0	0	false	Crafted	Bug	Bug, Clearmetal	Thorns, Battle Start	Battle Start: If your hitpoints is your base hitpoints; Apply 6 thorns to yourself | Battle Start: Gain 6 shield
prickly_thorax	Prickly Thorax	General	Turn Start: Gain thorns equal to your attack. (Can't strike)	0	0	4	0	0	0	true	Crafted	Weapon	Bug	Thorns	Turn Start: Apply thorns to yourself  equal to your current attack
puke_fly	Puke Fly	General	Turn Start: Convert 1 stack of a random status effect to poison.	0	0	3	0	0	0	false	Crafted	Bug	Bug	Poison	Turn Start: Convert 1 random status effect to poison
pulsing_arachnid	Pulsing Arachnid	General	Turn start: Deal 1 damage to the enemy. Repeat 2 additional times.	0	0	0	0	0	0	false	Crafted	Bug	Dark, Unique, Bug		Turn Start: Deal 1 damage to your Enemy.
purifying_talon	Purifying Talon	General	Battle Start: Gain 1 additional strike. On Hit: Decrease a random status effect.	0	0	3	0	0	0	false	Crafted	Weapon	Shimmering	Battle Start	Battle Start: Gain 1 strikes | On Hit: Remove 1 random status effect from yourself
reinforced_leaper	Reinforced Leaper	General	Battle Start: Gain 10 shield. If your hitpoints are not full, gain 2 acid.	0	0	0	3	0	0	false	Crafted	Bug	Bug, Clearmetal	Acid, Battle Start	Battle Start: Gain 10 shield | Battle Start: If your hitpoints is less than your base hitpoints; Apply 2 acid to yourself
reinforced_pillbug	Reinforced Pillbug	General	Exposed: Gain 5 shield.	0	10	0	0	0	0	false	Crafted	Bug	Bug	Exposed	Exposed: Gain 5 shield
rolling_barb_bug	Rolling Barb Bug	General	Exposed: Gain 5 shield and 5 thorns.	0	2	0	0	0	0	false	Crafted	Bug	Bug	Thorns, Exposed	Exposed: Gain 5 shield | Exposed: Apply 5 thorns to yourself
rotting_moth	Rotting Moth	General	Battle Start: Gain 3 acid. Wounded: Convert all your acid to regeneration.	0	0	0	4	0	0	false	Crafted	Bug	Bug, Vampiric	Acid, Regeneration, Battle Start, Wounded	Battle Start: Apply 3 acid to yourself | Wounded: Convert all acid to regeneration
sharpened_tibia	Sharpened Tibia	General	Turn Start: If your hitpoints are full, gain 1 additional strike.	0	6	2	0	0	0	false	Crafted	Weapon		Strikes	Turn Start: If your hitpoints is your base hitpoints; Gain 1 strikes
shimmering_scorpion	Shimmering Scorpion	General	Battle Start: Give all your status effects to your enemy.	0	0	0	0	0	0	false	Crafted	Bug	Shimmering, Bug	Battle Start	Battle Start: Convert all poison to your enemy's poison | Battle Start: Convert all acid to your enemy's acid | Battle Start: Convert all thorns to your enemy's thorns | Battle Start: Convert all regeneration to your enemy's regeneration | Battle Start: Convert all stun to your enemy's stun | Battle Start: Convert all blind to your enemy's blind | Battle Start: Convert all blessing to your enemy's blessing | Battle Start: Convert all burn to your enemy's burn
shiny_beetle	Shiny Beetle	General	Battle Start: Decrease all your status effects by 1 and gain 3 shield for each status removed.	0	0	0	0	0	0	false	Crafted	Bug	Shimmering	Battle Start	Battle Start: Convert 1 poison to 3.0x shield | Battle Start: Convert 1 acid to 3.0x shield | Battle Start: Convert 1 thorns to 3.0x shield | Battle Start: Convert 1 regeneration to 3.0x shield | Battle Start: Convert 1 stun to 3.0x shield | Battle Start: Convert 1 blind to 3.0x shield | Battle Start: Convert 1 blessing to 3.0x shield | Battle Start: Convert 1 burn to 3.0x shield
spiked_crawler	Spiked Crawler	General	Battle Start: Deal 1 damage and gain 1 thorns. Repeat 2 times.	0	0	0	0	0	0	false	Crafted	Bug	Bug, Dark	Thorns, Battle Start	Battle Start: Deal 1 damage to your Enemy. | Battle Start: Apply 1 thorns to yourself
spinepede	Spinepede	General	Turn Start: Gain 1 poison and 1 thorns.	0	0	3	0	0	0	false	Crafted	Bug	Bug	Thorns, Poison	Turn Start: Apply 1 poison to yourself | Turn Start: Apply 1 thorns to yourself
spiny_wetwalker	Spiny Wetwalker	General	Battle Start, Exposed, and Wounded: Remove 1 random status effect and gain 1 thorns. Twice.	0	0	0	0	0	0	false	Crafted	Bug	Bug	Thorns, Battle Start, Exposed, Wounded	Battle Start: Remove 1 random status effect from yourself | Battle Start: Apply 1 thorns to yourself | Exposed: Remove 1 random status effect from yourself | Exposed: Apply 1 thorns to yourself | Wounded: Remove 1 random status effect from yourself | Wounded: Apply 1 thorns to yourself
stink_bug	Stink Bug	General	Turn Start: Gain 1 shield and 2 poison.	0	3	3	0	0	0	false	Crafted	Bug	Bug	Poison	Turn Start: Gain 1 shield | Turn Start: Apply 2 poison to yourself
subaquatic_pillbug	Subaquatic Pillbug	General	Battle Start: Spend 1 shield to decrease a random status effect by 3.	0	3	0	0	0	0	false	Crafted	Bug	Shimmering, Bug	Battle Start	Battle Start: If your shield is more than 0 ; Lose -1 shield | Battle Start: Remove 3 random status effect from yourself
the_stinger	The Stinger	General	On Hit: Give the enemy 4 poison, 3 acid, and 2 stun. (First turn only)	0	0	3	0	0	0	false	Crafted	Weapon		Poison, Acid, Stun	On Hit: Apply 3 acid to your Enemy | On Hit: Apply 4 poison to yourself | On Hit: Apply 2 stun to your Enemy
thorn_hopper	Thornhopper	General	Battle Start: Gain 2 acid and gain thorns equal to your acid.	0	0	0	3	0	0	false	Crafted	Bug	Bug	Thorns, Acid, Battle Start	Battle Start: Apply 2 acid to yourself | Battle Start: Apply thorns to yourself  equal to your acid stacks
thorn_mite	Thornmite	General	Battle Start: Gain 4 thorns.	5	0	0	0	0	0	false	Crafted	Bug	Bug, Wood	Thorns, Battle Start	Battle Start: Apply 4 thorns to yourself
venomed_prickbug	Venomed Prickbug	General	Thorns do double damage.	0	0	0	0	0	0	false	Crafted	Bug	Bug, Unique	Thorns	Persistent: Gain 0 <unknown stat>
diamond_bloodmoth	Diamond Bloodmoth	General		0	0	0	0	0	0	false	Diamond	Bug	Vampiric, Bug		Wounded: Heal yourself for 16 hitpoints.
diamond_corpsehopper	Diamond Corpsehopper	General		0	0	0	12	0	0	false	Diamond	Bug			Battle Start: Apply 4 acid to yourself
